airport,airline,air_cluster,frequency
LGAV,SWR,A320,21
LGAV,AZA,A321,141
LGAV,AZA,A320,122
LGAV,AZA,A319,55
LGAV,AZA,E190,1
LGAV,TAY,B738,78
LGAV,TAY,B734,3
LGAV,PGT,B738,28
LGAV,PGT,A320,22
LGAV,SEH,AT43,292
LGAV,SEH,DH8D,36
LGAV,TVF,B738,242
LGAV,TVF,A320,4
LGAV,TVF,A319,1
LGAV,TVF,B763,1
LGAV,IBE,A320,80
LGAV,IBE,A321,15
LGAV,IBE,A319,9
LGAV,AFR,A319,252
LGAV,AFR,A320,68
LGAV,AFR,A321,13
LGAV,ASL,A319,65
LGAV,ASL,A320,53
LGAV,BMS,B738,104
LGAV,ETD,A320,45
LGAV,ETD,A332,2
LGAV,MEA,A320,71
LGAV,MEA,A332,9
LGAV,QTR,A320,43
LGAV,QTR,A332,6
LGAV,QTR,A321,5
LGAV,RAM,E190,9
LGAV,RAM,B737,5
LGAV,RAM,B738,2
LGAV,TRA,B738,119
LGAV,TRA,A321,1
LGAV,ELB,A319,178
LGAV,ELB,A320,15
LGAV,JAF,B738,28
LGAV,JAF,E190,20
LGAV,JAF,B737,4
LGAV,OMA,B738,42
LGAV,OMA,A320,1
LGAV,AWC,B752,8
LGAV,AWC,B763,5
LGAV,CCA,A332,1
LGAV,EZY,A320,78
LGAV,EZY,A319,11
LGAV,VPB,B737,1
LGAV,BEL,A319,38
LGAV,BEL,A320,10
LGAV,IBS,A321,14
LGAV,RJA,A320,3
LGAV,RJA,A319,3
LGAV,RJA,E190,3
LGAV,BAW,A320,112
LGAV,BAW,A321,4
LGAV,TSC,A332,63
LGAV,AAF,B734,2
LGAV,ELY,B738,70
LGAV,AZI,AT43,167
LGAV,AZI,B734,1
LGAV,VLG,A321,55
LGAV,VLG,A320,51
LGAV,BCS,B734,33
LGAV,BCS,B752,7
LGAV,VOE,A319,21
LGAV,EZS,A320,20
LGAV,EZS,A319,18
LGAV,WUK,A321,56
LGAV,SAS,B738,41
LGAV,SAS,B737,30
LGAV,SAS,A320,29
LGAV,SAS,A321,21
LGAV,SAS,A319,7
LGAV,MSR,B738,60
LGAV,LLM,A320,2
LGAV,EWG,A320,53
LGAV,EWG,A319,20
LGAV,EWG,B738,2
LGAV,EIN,A320,24
LGAV,ROT,B737,48
LGAV,ISR,A320,10
LGAV,KLM,B738,73
LGAV,KLM,B737,5
LGAV,SVA,A320,30
LGAV,SVA,A321,1
LGAV,FPO,B738,8
LGAV,FPO,B737,2
LGAV,REU,A332,3
LGAV,JNK,B734,16
LGAV,JNK,A319,4
LGAV,ZZZ,B737,9
LGAV,ZZZ,E190,5
LGAV,ZZZ,AT43,1
LGAV,ZZZ,B738,1
LGAV,EIG,AT76,1
LGAV,AEA,A332,8
LGAV,RYS,B738,9
LGAV,GFA,A320,4
LGAV,CNV,B737,2
LGAV,TVP,B738,8
LGAV,CXI,B738,4
LGAV,FIN,A320,11
LGAV,FIN,A319,8
LGAV,FIN,A321,1
LGAV,TVS,B738,1
LGAV,KAY,A319,1
LGAV,LZB,E190,6
LGAV,LZB,A319,2
LGAV,TDR,A320,5
LGAV,AAL,A332,2
LGAV,ANE,CRJX,1
LGAV,LAV,B734,3
LGAV,LGL,B738,1
LGAV,RJD,A319,1
LGAV,FRV,B738,3
LGAV,FRV,B744,2
LGAV,CMB,B738,9
LGAV,CMB,B763,3
LGAV,PHG,B737,3
LGAV,BPA,B763,1
LGAV,PVG,B763,2
LGAV,TFL,B763,1
LGAV,HZX,A320,1
LGAV,ENT,B738,6
LGAV,SCX,B738,2
LGAV,BSK,B738,2
LGAV,UAL,B763,1
LGAV,DCS,A319,1
LGAV,HZA,A320,2
LGAV,OLY,A321,1
LGAV,ROJ,B737,1
LGAV,ICL,B744,2
EDDL,EWG,A320,2469
EDDL,EWG,A319,2464
EDDL,EWG,DH8D,1658
EDDL,EWG,A332,133
EDDL,EWG,A321,102
EDDL,EWG,B738,13
EDDL,SBI,A320,12
EDDL,SBI,A321,12
EDDL,BUC,A320,72
EDDL,ASL,A319,32
EDDL,ASL,A320,2
EDDL,AFR,E190,110
EDDL,SWR,A320,133
EDDL,SWR,E190,29
EDDL,SWR,A319,4
EDDL,SWR,A321,1
EDDL,PGT,B738,102
EDDL,PGT,A320,47
EDDL,LDM,A320,656
EDDL,LDM,B738,199
EDDL,TUI,B738,522
EDDL,TUI,B737,109
EDDL,TUI,A321,95
EDDL,TUI,A320,2
EDDL,ETD,A332,25
EDDL,EIN,A320,112
EDDL,CFG,A320,283
EDDL,CFG,A321,207
EDDL,CFG,B763,1
EDDL,SXS,B738,492
EDDL,SXS,A320,70
EDDL,DLH,A320,477
EDDL,DLH,A319,295
EDDL,DLH,A321,208
EDDL,DLH,E190,40
EDDL,DLH,A332,5
EDDL,VAW,A321,15
EDDL,VAW,A320,5
EDDL,OHY,A320,79
EDDL,OHY,A332,34
EDDL,OHY,A321,29
EDDL,AFL,A320,167
EDDL,AFL,A321,58
EDDL,AUI,B738,56
EDDL,BEE,DH8D,396
EDDL,THY,A321,156
EDDL,THY,B738,87
EDDL,THY,A332,18
EDDL,THY,A320,2
EDDL,BAW,A319,183
EDDL,BAW,A320,62
EDDL,BAW,A321,35
EDDL,EJU,A319,157
EDDL,EJU,A320,138
EDDL,AUA,A320,185
EDDL,AUA,DH8D,165
EDDL,AUA,A319,69
EDDL,AEE,A320,143
EDDL,AEE,A321,2
EDDL,SXD,B738,461
EDDL,SXD,B752,4
EDDL,SXD,B763,3
EDDL,SXD,B744,3
EDDL,SXD,B734,2
EDDL,SXD,A320,1
EDDL,IBK,B738,123
EDDL,IBE,A321,86
EDDL,IBE,A320,60
EDDL,IBE,A319,15
EDDL,TAP,A319,79
EDDL,TAP,A320,26
EDDL,TAP,A332,1
EDDL,CAI,B738,85
EDDL,CAI,A320,13
EDDL,FIN,A320,41
EDDL,FIN,A319,36
EDDL,FIN,A321,19
EDDL,FIN,E190,16
EDDL,KLM,E190,80
EDDL,EZY,A319,39
EDDL,EZY,A320,7
EDDL,CTN,A319,16
EDDL,CTN,A320,1
EDDL,SDM,A319,56
EDDL,CXI,B738,30
EDDL,SAS,B737,66
EDDL,SAS,B738,21
EDDL,SAS,A319,9
EDDL,SAS,A320,8
EDDL,SAS,A321,4
EDDL,SAS,CRJX,2
EDDL,NMA,A320,14
EDDL,GWI,A320,29
EDDL,GWI,DH8D,20
EDDL,GWI,A319,13
EDDL,GWI,A332,4
EDDL,AMC,A320,16
EDDL,LBT,A320,44
EDDL,VLG,A320,47
EDDL,OTF,A320,63
EDDL,LMU,A332,6
EDDL,LOT,A319,47
EDDL,LOT,B734,26
EDDL,LOT,B738,6
EDDL,LOT,B737,1
EDDL,LOT,E190,1
EDDL,KKK,A321,23
EDDL,KKK,A319,20
EDDL,KKK,A320,18
EDDL,ICE,B752,28
EDDL,ICE,A319,1
EDDL,IAW,A320,16
EDDL,TAR,A320,38
EDDL,HOP,E190,23
EDDL,GLP,B738,8
EDDL,MSC,A320,16
EDDL,MSC,B738,11
EDDL,AWT,B734,18
EDDL,RAM,A320,6
EDDL,ENT,B738,5
EDDL,CCA,A332,19
EDDL,KAY,A319,1
EDDL,TWI,B734,8
EDDL,NIA,A321,1
EDDL,KKL,A319,2
EDDL,TFL,B763,4
EDDL,TFL,B738,2
EDDL,SDR,A320,7
EDDL,SDR,A319,1
EDDL,VKG,A321,2
EDDL,WLB,A321,4
EDDL,WLB,A320,2
EDDL,WLB,B737,2
EDDL,HBJ,A319,3
EDDL,LAV,B738,2
EDDL,OLY,A321,14
EDDL,OLY,A320,4
EDDL,RYR,B738,1
EDDL,SMR,B738,2
EDDL,TCX,A321,2
EDDL,SEH,DH8D,1
EDDL,EDW,A332,1
EDDL,DAN,A321,1
EDDL,AZA,E190,1
EDDL,DAT,A321,1
